date,AAPL,MSFT,WMT,XOM
2010-05-04,;1.20873786408;,;0.978099480327;,;1.00174227679;,;0.967640225689;
2010-05-05,;1.19590846047;,;0.969190794358;,;1.01565021949;,;0.963159641553;
2010-05-06,;1.15048543689;,;0.940979955457;,;0.987092572894;,;0.929970129439;
2010-05-07,;1.10194174757;,;0.915738678545;,;0.971701150318;,;0.92731496847;
2010-05-10,;1.18689320388;,;0.939495174462;,;0.975039065069;,;0.949551941586;
2010-05-11,;1.19868238558;,;0.937639198218;,;0.972813738966;,;0.94473946233;
2010-05-12,;1.22468793343;,;0.955827765405;,;0.978838239513;,;0.951211417192;
2010-05-13,;1.20700416089;,;0.949146250928;,;0.97734615008;,;0.948722203784;
2010-05-14,;1.18585298197;,;0.939123979213;,;0.972123635114;,;0.932127447727;
2010-05-17,;1.1879334258;,;0.939495174462;,;0.98350115451;,;0.92731496847;
2010-05-18,;1.17926490985;,;0.932813659985;,;1.00177975494;,;0.920179223365;
2010-05-19,;1.16019417476;,;0.920935412027;,;0.989283184412;,;0.915200796548;
2010-05-20,;1.11095700416;,;0.884187082405;,;0.956829298583;,;0.884168602722;
2010-05-21,;1.13210818308;,;0.875278396437;,;0.958134911381;,;0.89230003319;
2010-05-24,;1.15291262136;,;0.856718634001;,;0.951233830348;,;0.882177231995;
2010-05-25,;1.14563106796;,;0.850037119525;,;0.937804621551;,;0.87504148689;
2010-05-26,;1.14042995839;,;0.815515961396;,;0.932955208661;,;0.86923332227;
2010-05-27,;1.18377253814;,;0.847809948033;,;0.945638340855;,;0.900763358779;
2010-05-28,;1.20006934813;,;0.841499628805;,;0.943027115259;,;0.885994025888;
2010-06-01,;1.21879334258;,;0.844469190794;,;0.949741655883;,;0.868403584467;
2010-06-02,;1.23335644938;,;0.863028953229;,;0.964663017887;,;0.890640557584;
2010-06-03,;1.22954230236;,;0.876020786934;,;0.964663017887;,;0.902256886824;
2010-06-04,;1.19590846047;,;0.841128433556;,;0.940042872619;,;0.872386325921;
2010-06-07,;1.17233009709;,;0.824795842613;,;0.946384417458;,;0.86906737471;
2010-06-08,;1.16504854369;,;0.818856718634;,;0.947130430287;,;0.897444407567;
2010-06-09,;1.13626907074;,;0.80846325167;,;0.951047332455;,;0.879688018586;
2010-06-10,;1.1705963939;,;0.815144766147;,;0.955337209151;,;0.90706936608;
2010-06-11,;1.18446601942;,;0.836674090572;,;0.948622604752;,;0.906571523399;
2010-06-14,;1.1879334258;,;0.83147735709;,;0.955710247452;,;0.899435778294;
2010-06-15,;1.21324549237;,;0.866740905716;,;0.96317086468;,;0.916030534351;
2010-06-16,;1.24861303745;,;0.858203414996;,;0.950860770788;,;0.916030534351;
2010-06-17,;1.270110957;,;0.86005939124;,;0.958880987984;,;0.917358114836;
2010-06-18,;1.28051317614;,;0.862286562732;,;0.96149221358;,;0.924825755061;
2010-06-21,;1.26248266297;,;0.846325167038;,;0.95160686865;,;0.925157650183;
2010-06-22,;1.27947295423;,;0.840386043059;,;0.945265302553;,;0.907733156323;
2010-06-23,;1.26595006935;,;0.825538233111;,;0.947690030256;,;0.89545303684;
2010-06-24,;1.25693481276;,;0.815144766147;,;0.933141706554;,;0.880351808828;
2010-06-25,;1.24618585298;,;0.79992576095;,;0.910200191128;,;0.866080318619;
2010-06-28,;1.25346740638;,;0.792873051225;,;0.924561974421;,;0.856953202788;
2010-06-29,;1.19694868239;,;0.760207869339;,;0.912065403895;,;0.839528708928;
2010-06-30,;1.17510402219;,;0.750556792873;,;0.896584505696;,;0.836375705277;
2010-07-01,;1.16088765603;,;0.755382331106;,;0.901620458995;,;0.829571855294;
2010-07-02,;1.15395284327;,;0.758723088344;,;0.895278892899;,;0.829074012612;
