date,AAPL,$RUA
2010-04-30,;35.18;,;702.940002;
2010-05-03,;35.89;,;712.719971;
2010-05-04,;34.86;,;694.880005;
2010-05-05,;34.49;,;689.320007;
2010-05-06,;33.18;,;666.590027;
2010-05-07,;31.78;,;655.02002;
2010-05-10,;34.23;,;684.73999;
2010-05-11,;34.57;,;683.349976;
2010-05-12,;35.32;,;694.330017;
2010-05-13,;34.81;,;686.330017;
2010-05-14,;34.2;,;672.890015;
2010-05-17,;34.26;,;673.659973;
2010-05-18,;34.01;,;663.75;
2010-05-19,;33.46;,;659.559998;
2010-05-20,;32.04;,;632.98999;
2010-05-21,;32.65;,;642.640015;
2010-05-24,;33.25;,;634.650024;
2010-05-25,;33.04;,;634.719971;
2010-05-26,;32.89;,;632.23999;
2010-05-27,;34.14;,;653.929993;
2010-05-28,;34.61;,;646.039978;
2010-06-01,;35.15;,;633.52002;
2010-06-02,;35.57;,;650.340027;
2010-06-03,;35.46;,;653.659973;
2010-06-04,;34.49;,;629.969971;
2010-06-07,;33.81;,;620.380005;
2010-06-08,;33.6;,;626.0;
2010-06-09,;32.77;,;623.130005;
2010-06-10,;33.76;,;641.950012;
2010-06-11,;34.16;,;645.690002;
2010-06-14,;34.26;,;645.210022;
2010-06-15,;34.99;,;660.51001;
2010-06-16,;36.01;,;659.679993;
2010-06-17,;36.63;,;660.049988;
2010-06-18,;36.93;,;660.710022;
2010-06-21,;36.41;,;657.609985;
2010-06-22,;36.9;,;646.320007;
2010-06-23,;36.51;,;644.530029;
2010-06-24,;36.25;,;633.539978;
2010-06-25,;35.94;,;636.22998;
2010-06-28,;36.15;,;634.559998;
2010-06-29,;34.52;,;613.97998;
2010-06-30,;33.89;,;607.919983;
2010-07-01,;33.48;,;605.559998;
2010-07-02,;33.28;,;602.359985;
2010-07-06,;33.5;,;604.150024;
2010-07-07,;34.86;,;623.590027;
2010-07-08,;34.78;,;629.72998;
2010-07-09,;34.98;,;634.869995;
2010-07-12,;34.67;,;634.210022;
2010-07-13,;33.93;,;645.299988;
2010-07-14,;34.06;,;644.919983;
2010-07-15,;33.88;,;645.039978;
2010-07-16,;33.67;,;625.900024;
2010-07-19,;33.09;,;629.570007;
2010-07-20,;33.94;,;637.340027;
2010-07-21,;34.26;,;628.830017;
2010-07-22,;34.9;,;643.849976;
2010-07-23,;35.03;,;650.280029;
2010-07-26,;34.94;,;658.52002;
2010-07-27,;35.59;,;657.059998;
2010-07-28,;35.16;,;651.650024;
2010-07-29,;34.78;,;649.01001;
2010-07-30,;34.66;,;649.390015;
2010-08-02,;35.28;,;663.299988;
2010-08-03,;35.3;,;659.640015;
2010-08-04,;35.44;,;664.27002;
2010-08-05,;35.26;,;662.719971;
2010-08-06,;35.05;,;660.26001;
2010-08-09,;35.27;,;664.409973;
2010-08-10,;34.96;,;659.130005;
2010-08-11,;33.71;,;639.679993;
2010-08-12,;33.93;,;636.359985;
2010-08-13,;33.57;,;633.400024;
2010-08-16,;33.37;,;634.030029;
2010-08-17,;33.95;,;642.390015;
2010-08-18,;34.1;,;643.539978;
2010-08-19,;33.67;,;632.200012;
2010-08-20,;33.64;,;630.25;
2010-08-23,;33.12;,;626.969971;
2010-08-24,;32.33;,;617.809998;
2010-08-25,;32.73;,;620.659973;
2010-08-26,;32.38;,;615.900024;
2010-08-27,;32.56;,;627.0;
2010-08-30,;32.68;,;617.27002;
2010-08-31,;32.76;,;617.47998;
2010-09-01,;33.73;,;636.25;
2010-09-02,;33.98;,;642.51001;
2010-09-03,;34.87;,;651.179993;
2010-09-07,;34.74;,;643.030029;
2010-09-08,;35.43;,;647.179993;
2010-09-09,;35.45;,;649.869995;
2010-09-10,;35.49;,;652.840027;
2010-09-13,;35.98;,;661.140015;
2010-09-14,;36.12;,;660.559998;
2010-09-15,;36.41;,;662.969971;
2010-09-16,;37.27;,;662.369995;
2010-09-17,;37.11;,;663.299988;
2010-09-20,;38.17;,;674.049988;
2010-09-21,;38.24;,;671.900024;
2010-09-22,;38.77;,;668.140015;
2010-09-23,;38.93;,;662.609985;
2010-09-24,;39.39;,;677.440002;
2010-09-27,;39.23;,;673.929993;
2010-09-28,;38.65;,;677.710022;
2010-09-29,;38.72;,;676.559998;
2010-09-30,;38.24;,;674.75;
2010-10-01,;38.07;,;677.679993;
2010-10-04,;37.55;,;671.830017;
2010-10-05,;38.93;,;686.169983;
2010-10-06,;38.97;,;684.98999;
2010-10-07,;38.97;,;683.98999;
2010-10-08,;39.63;,;688.849976;
2010-10-11,;39.8;,;689.080017;
2010-10-12,;40.23;,;691.76001;
2010-10-13,;40.44;,;697.150024;
2010-10-14,;40.74;,;694.619995;
2010-10-15,;42.41;,;695.849976;
2010-10-18,;42.85;,;700.640015;
2010-10-19,;41.7;,;689.0;
2010-10-20,;41.84;,;696.52002;
2010-10-21,;41.71;,;697.190002;
2010-10-22,;41.43;,;699.419983;
2010-10-25,;41.62;,;701.400024;
2010-10-26,;41.51;,;701.390015;
2010-10-27,;41.48;,;699.690002;
2010-10-28,;41.13;,;700.049988;
2010-10-29,;40.56;,;700.369995;
2010-11-01,;40.99;,;700.630005;
2010-11-02,;41.69;,;706.909973;
2010-11-03,;42.15;,;709.330017;
2010-11-04,;42.89;,;723.22998;
2010-11-05,;42.73;,;726.140015;
2010-11-08,;42.93;,;724.929993;
2010-11-09,;42.59;,;718.690002;
2010-11-10,;42.85;,;722.580017;
2010-11-11,;42.67;,;719.849976;
2010-11-12,;41.51;,;710.73999;
2010-11-15,;41.37;,;710.169983;
2010-11-16,;40.64;,;698.349976;
2010-11-17,;40.49;,;699.070007;
2010-11-18,;41.56;,;709.900024;
2010-11-19,;41.33;,;712.109985;
2010-11-22,;42.23;,;711.859985;
2010-11-23,;41.6;,;702.070007;
2010-11-24,;42.42;,;713.400024;
2010-11-26,;42.45;,;708.369995;
2010-11-29,;42.7;,;707.330017;
2010-11-30,;41.93;,;702.919983;
2010-12-01,;42.64;,;718.01001;
2010-12-02,;42.87;,;727.0;
2010-12-03,;42.78;,;729.549988;
2010-12-06,;43.14;,;729.190002;
2010-12-07,;42.88;,;729.640015;
2010-12-08,;43.26;,;731.559998;
2010-12-09,;43.09;,;734.280029;
2010-12-10,;43.2;,;739.169983;
2010-12-13,;43.35;,;738.609985;
2010-12-14,;43.16;,;739.169983;
2010-12-15,;43.17;,;735.369995;
2010-12-16,;43.29;,;740.47998;
2010-12-17,;43.2;,;741.590027;
2010-12-20,;43.42;,;743.48999;
2010-12-21,;43.69;,;748.419983;
2010-12-22,;43.82;,;750.710022;
2010-12-23,;43.61;,;749.409973;
2010-12-27,;43.75;,;750.01001;
2010-12-28,;43.86;,;750.090027;
2010-12-29,;43.83;,;751.200012;
2010-12-30,;43.61;,;750.299988;
