date,GOOG,AAPL,IBM,MSFT
2010-08-26,;1.0;,;32.81;,;114.66;,;21.46;
2010-08-27,;1.0;,;32.99;,;116.48;,;21.55;
2010-08-30,;1.0;,;33.11;,;115.24;,;21.29;
2010-08-31,;1.0;,;33.19;,;114.99;,;21.14;
2010-09-01,;1.0;,;34.18;,;117.46;,;21.53;
2010-09-02,;1.0;,;34.43;,;116.77;,;21.56;
2010-09-03,;1.0;,;35.33;,;119.15;,;21.88;
2010-09-07,;1.0;,;35.2;,;117.62;,;21.58;
2010-09-08,;1.0;,;35.9;,;117.75;,;21.55;
2010-09-09,;1.0;,;35.92;,;118.01;,;21.63;
2010-09-10,;1.0;,;35.97;,;119.53;,;21.48;
2010-09-13,;1.0;,;36.46;,;121.04;,;22.62;
2010-09-14,;1.0;,;36.6;,;120.33;,;22.55;
2010-09-15,;1.0;,;36.9;,;120.87;,;22.63;
2010-09-16,;1.0;,;37.76;,;121.1;,;22.82;
2010-09-17,;1.0;,;37.6;,;121.58;,;22.72;
2010-09-20,;1.0;,;38.67;,;123.08;,;22.91;
2010-09-21,;1.0;,;38.75;,;123.26;,;22.65;
2010-09-22,;1.0;,;39.29;,;123.81;,;22.17;
2010-09-23,;1.0;,;39.45;,;122.97;,;22.0;
2010-09-24,;1.0;,;39.91;,;125.24;,;22.32;
2010-09-27,;1.0;,;39.76;,;125.75;,;22.28;
2010-09-28,;1.0;,;39.17;,;125.97;,;22.23;
2010-09-29,;1.0;,;39.24;,;126.52;,;22.07;
2010-09-30,;1.0;,;38.74;,;125.27;,;22.06;
2010-10-01,;1.0;,;38.58;,;126.67;,;21.96;
2010-10-04,;1.0;,;38.05;,;126.31;,;21.54;
2010-10-05,;1.0;,;39.45;,;128.56;,;21.93;
2010-10-06,;1.0;,;39.49;,;128.73;,;22.0;
2010-10-07,;1.0;,;39.49;,;129.55;,;22.1;
2010-10-08,;1.0;,;40.15;,;129.67;,;22.13;
2010-10-11,;1.0;,;40.33;,;130.43;,;22.15;
2010-10-12,;1.0;,;40.76;,;130.61;,;22.37;
2010-10-13,;1.0;,;40.98;,;131.09;,;22.82;
2010-10-14,;1.0;,;41.28;,;132.15;,;22.73;
2010-10-15,;1.0;,;42.98;,;131.74;,;23.0;
2010-10-18,;1.0;,;43.42;,;133.39;,;23.26;
2010-10-19,;1.0;,;42.26;,;128.91;,;22.61;
2010-10-20,;1.0;,;42.4;,;129.88;,;22.8;
2010-10-21,;1.0;,;42.26;,;130.59;,;22.9;
2010-10-22,;1.0;,;41.98;,;130.44;,;22.86;
2010-10-25,;1.0;,;42.17;,;130.6;,;22.69;
2010-10-26,;1.0;,;42.06;,;131.37;,;23.33;
2010-10-27,;1.0;,;42.03;,;132.08;,;23.46;
2010-10-28,;1.0;,;41.68;,;131.59;,;23.67;
2010-10-29,;1.0;,;41.1;,;134.11;,;24.02;
2010-11-01,;1.0;,;41.53;,;133.85;,;24.27;
2010-11-02,;1.0;,;42.24;,;134.33;,;24.67;
2010-11-03,;1.0;,;42.71;,;134.64;,;24.35;
2010-11-04,;1.0;,;43.46;,;137.09;,;24.45;
2010-11-05,;1.0;,;43.3;,;137.21;,;24.18;
2010-11-08,;1.0;,;43.51;,;137.39;,;24.15;
2010-11-09,;1.0;,;43.16;,;137.09;,;24.27;
2010-11-10,;1.0;,;43.43;,;137.47;,;24.27;
2010-11-11,;1.0;,;43.24;,;136.42;,;24.03;
2010-11-12,;1.0;,;42.06;,;134.83;,;23.66;
2010-11-15,;1.0;,;41.92;,;134.74;,;23.6;
2010-11-16,;1.0;,;41.18;,;133.43;,;23.39;
2010-11-17,;1.0;,;41.03;,;133.16;,;23.17;
2010-11-18,;1.0;,;42.11;,;135.42;,;23.42;
2010-11-19,;1.0;,;41.88;,;136.06;,;23.28;
2010-11-22,;1.0;,;42.79;,;136.38;,;23.32;
2010-11-23,;1.0;,;42.16;,;134.31;,;22.77;
2010-11-24,;1.0;,;42.98;,;136.78;,;22.99;
2010-11-26,;1.0;,;43.01;,;134.98;,;22.88;
2010-11-29,;1.0;,;43.27;,;134.04;,;22.94;
2010-11-30,;1.0;,;42.49;,;132.7;,;22.89;
2010-12-01,;1.0;,;43.2;,;135.46;,;23.6;
2010-12-02,;1.0;,;43.44;,;136.19;,;24.37;
2010-12-03,;1.0;,;43.34;,;136.37;,;24.49;
2010-12-06,;1.0;,;43.71;,;136.01;,;24.32;
2010-12-07,;1.0;,;43.45;,;135.1;,;24.35;
2010-12-08,;1.0;,;43.83;,;136.0;,;24.68;
2010-12-09,;1.0;,;43.66;,;135.36;,;24.54;
2010-12-10,;1.0;,;43.77;,;135.85;,;24.78;
2010-12-13,;1.0;,;43.92;,;135.34;,;24.7;
2010-12-14,;1.0;,;43.73;,;136.79;,;25.03;
2010-12-15,;1.0;,;43.74;,;135.75;,;25.24;
2010-12-16,;1.0;,;43.87;,;135.59;,;25.37;
2010-12-17,;1.0;,;43.78;,;136.02;,;25.28;
2010-12-20,;1.0;,;44.0;,;135.56;,;25.2;
2010-12-21,;1.0;,;44.27;,;136.71;,;25.44;
2010-12-22,;1.0;,;44.4;,;136.91;,;25.55;
2010-12-23,;1.0;,;44.19;,;136.85;,;25.65;
2010-12-27,;1.0;,;44.33;,;136.34;,;25.44;
2010-12-28,;1.0;,;44.44;,;136.68;,;25.38;
2010-12-29,;1.0;,;44.42;,;137.44;,;25.35;
2010-12-30,;1.0;,;44.19;,;137.58;,;25.24;
